gFx,gFy,gFz
0.1904,-1.1869,-0.4492
0.0698,-1.4073,-0.4576
-0.0944,-1.7357,-0.8445
-0.4111,-1.7249,-0.5308
-0.7111,-1.5807,-0.3407
-0.8449,-1.591,-0.5802
-0.475,-1.2827,-0.4664
-0.2127,-0.9964,-0.2973
-0.2576,-0.8855,-0.2093
-0.3031,-0.906,-0.2821
-0.2547,-0.8385,-0.2914
-0.2395,-0.6734,-0.138
-0.2478,-0.4535,-0.0139
-0.2527,-0.2913,0.076
-0.2547,-0.1877,0.1063
-0.2283,-0.1525,0.0574
-0.1301,-0.1931,-0.0026
-0.0465,-0.3435,0.0189
-0.0793,-0.457,-0.0036
-0.2429,-0.6245,-0.0994
-0.3324,-0.7897,-0.5274
-0.1408,-1.0286,-1.2203
-0.219,-0.8522,-1.2056
-0.5156,-0.604,-0.6622
-0.4834,-0.6045,-0.2963
-0.6133,-0.8263,-0.4316
-0.7873,-1.3447,-0.89
-0.4472,-1.6736,-0.0153
-0.1428,-1.2822,0.9902
-0.5474,-1.5431,-0.7757
-0.1902,-1.8368,-0.3828
0.0678,-1.6365,-0.2376
-0.1912,-1.1913,0.3262
-0.3583,-1.0755,0.2773
-0.4213,-1.099,0.1356
-0.4731,-0.9895,-0.159
-0.4462,-0.7471,-0.2875
-0.3187,-0.6167,-0.3594
-0.2249,-0.5209,-0.4365
-0.2571,-0.5649,-0.4258
-0.1003,-0.6323,-0.3716
-0.0016,-0.6567,-0.3017
0.0869,-0.5762,-0.4038
0.0703,-0.5195,-0.3427
-0.2376,-0.4183,-0.1233
-0.3852,-0.4609,0.0413
-0.306,-0.6279,0.2651
-0.2639,-0.7481,-0.0559
-0.0319,-0.9397,-0.6373
0.1137,-1.0018,-0.3417
0.2407,-1.1527,-0.2264
0.2129,-1.441,-0.715
-0.0671,-1.5226,-0.6158
-0.2229,-1.4303,-0.7805
-0.583,-1.4952,-0.5518
-0.8064,-1.657,-0.4898
-0.6094,-1.5846,-0.502
-0.286,-1.2045,-0.4219
-0.3592,-0.7603,-0.2328
-0.4912,-0.6367,-0.181
-0.415,-0.668,-0.2631
-0.2889,-0.6025,-0.224
-0.2107,-0.4755,-0.093
-0.1418,-0.3607,0.0115
-0.1154,-0.3118,0.0389
-0.0632,-0.3304,0.034
-0.0094,-0.3391,0.057
-0.0026,-0.3411,0.1102
-0.2493,-0.3255,-0.0217
-0.349,-0.4354,-0.0945
-0.4966,-0.6367,-0.4786
-0.347,-0.9045,-1.7807
-0.1941,-0.8996,-1.1895
-0.2777,-0.8371,-0.3711
-0.3016,-0.9328,-0.2035
-0.2845,-1.2055,-0.6608
-0.1096,-1.3262,0.4855
-0.3382,-1.3496,0.6433
-1.291,-2.1148,-2.4379
-0.6485,-2.2228,-0.072
-0.2493,-1.484,0.2876
-0.2434,-1.0853,0.0868
-0.2826,-0.9656,0.12
-0.2747,-0.9871,-0.0051
-0.3001,-0.8967,-0.1912
-0.4062,-0.7515,-0.3227
-0.4062,-0.6577,-0.4453
-0.3275,-0.6016,-0.4786
-0.2581,-0.5635,-0.483
-0.0803,-0.5326,-0.4737
0.0448,-0.5879,-0.2342
0.0585,-0.5449,0.1303
0.1836,-0.4369,0.0301
0.0966,-0.4203,-0.8186
-0.453,-0.5947,-0.3295
-0.307,-0.6377,0.1781
0.1352,-0.7296,0.0858
0.2407,-0.9847,-0.5621
0.081,-1.2568,-0.502
0.0937,-1.3599,-0.0202
0.2383,-1.569,-0.3168
0.3087,-1.7537,-0.8778
-0.2049,-1.6022,-0.8792
-0.9461,-1.6838,-0.8264
-0.9285,-1.4532,-0.7355
-0.5771,-1.1429,-0.4145
-0.4174,-0.8253,-0.0681
-0.3309,-0.6509,0.1
-0.3358,-0.6064,-0.0378
-0.3065,-0.5977,-0.2729
-0.1692,-0.5312,-0.2083
-0.0954,-0.4242,-0.0657
-0.0148,-0.2923,-0.0676
0.037,-0.2063,-0.1316
0.0004,-0.2864,0.0067
-0.0861,-0.3973,0.1865
-0.0578,-0.3959,0.2241
-0.0978,-0.3719,-0.0197
-0.3011,-0.4648,-0.4668
-0.348,-0.947,-1.2379
-0.1467,-1.181,-1.4602
-0.3001,-1.0247,-0.9217
-0.4418,-0.9558,-0.6794
-0.6441,-1.1766,-0.7048
-0.3197,-1.1825,0.7092
-0.414,-1.4366,0.4523
-0.7726,-2.0616,-0.7355
-0.3416,-1.9751,0.1923
-0.0856,-1.3677,-0.0554
-0.1922,-0.9925,0.2851
-0.3026,-0.9988,0.1483
-0.199,-1.0926,-0.2514
-0.261,-1.0203,-0.5377
-0.4316,-0.8053,-0.3329
-0.6119,-0.6489,-0.1517
-0.5508,-0.5439,-0.1223
-0.3641,-0.4408,-0.2431
-0.2083,-0.5463,-0.5005
-0.0983,-0.7623,-0.5885
0.1293,-0.8429,-0.6432
-0.0162,-0.6314,-0.1267
-0.1614,-0.4374,0.1781
-0.1281,-0.3739,0.2935
-0.1218,-0.241,0.1146
-0.2034,-0.5097,-0.3144
0.0018,-0.8947,-0.4913
0.1396,-0.9905,-0.2611
0.1562,-1.052,0.183
0.2701,-1.2768,-0.375
0.2637,-1.6565,-1.5916
-0.1956,-1.5602,-0.759
-0.7912,-1.7327,-0.6921
-0.861,-1.9013,-0.5377
-0.5527,-1.8226,-0.3407
-0.4013,-1.2275,-0.2606
-0.522,-1.0037,-0.3422
-0.393,-0.8239,-0.3451
-0.3109,-0.6372,-0.246
-0.2674,-0.5185,-0.1991
-0.261,-0.3426,-0.1018
-0.2503,-0.2321,-0.0036
-0.2009,-0.1774,0.033
-0.1096,-0.1818,0.0096
-0.048,-0.2053,-0.0065
-0.0812,-0.2287,-0.0256
-0.1589,-0.3387,-0.0114
-0.2117,-0.5253,-0.0315
-0.1648,-0.6793,-0.1541
-0.07,-0.9104,-0.6398
0.3194,-1.0618,-1.0248
0.3297,-0.8869,-1.1294
-0.0627,-0.9416,-1.0693
-0.5293,-1.2905,-1.403
-0.7921,-1.5739,0.0966
-0.758,-1.4517,0.9643
-1.4195,-1.4596,-1.1138
-0.8254,-1.6443,0.6174
-0.0622,-1.4063,0.2182
0.0512,-1.2109,-0.054
0.0321,-1.0457,-0.502
-0.2102,-1.2202,-0.1829
-0.2088,-1.1512,-0.3275
-0.3524,-0.9871,-0.2371
-0.4516,-0.8043,-0.182
-0.4618,-0.5986,-0.2714
-0.4535,-0.5033,-0.1825
-0.3651,-0.5268,-0.0291
-0.1564,-0.6353,-0.0354
0.0204,-0.6695,-0.1502
0.2398,-0.6035,-0.5978
-0.0006,-0.5996,-0.5865
-0.2899,-0.5996,-0.1683
-0.3192,-0.6929,-0.0906
-0.2977,-0.7681,-0.0857
-0.155,-0.7902,0.0233
0.0048,-0.9167,-0.1717
0.1147,-1.1097,-0.2914
0.2027,-1.1674,-0.3236
0.2809,-1.1229,-0.2787
0.2818,-0.8835,-0.5079
-0.1145,-0.991,-0.2777
-0.3407,-1.2963,-0.0148
-0.4482,-1.3633,0.1312
-0.6382,-1.4903,-0.0139
-0.9661,-1.6887,-0.3706
-0.9568,-1.7058,-0.3686
-0.7228,-1.4033,-0.2675
-0.4849,-1.0066,-0.2088
-0.4233,-0.8777,-0.2992
-0.4521,-0.9045,-0.4615
-0.5527,-0.9372,-0.4703
-0.5919,-0.8468,-0.3368
-0.4917,-0.6616,-0.2279
-0.4438,-0.539,-0.0579
-0.3407,-0.5644,0.0154
-0.1897,-0.5908,-0.1257
-0.1184,-0.5292,-0.2436
-0.111,-0.5331,-0.3476
-0.1985,-0.5356,-0.3051
-0.2132,-0.6323,-0.2567
-0.0729,-0.8126,-0.2421
0.0766,-1.0042,-0.4922
0.3424,-1.2211,-0.7815
0.3796,-1.3052,-0.5699
0.1,-0.9148,-0.0637
-0.1423,-0.7105,0.1425
-0.3211,-0.646,0.1625
-0.4389,-0.6783,-1.2711
-0.3964,-0.2722,-0.9613
-0.3475,-0.3475,-0.3701
-0.4946,-0.5434,-0.5895
-0.4042,-1.7645,-0.4732
-0.5552,-1.9125,0.8964
-0.0578,-1.4918,0.4698
0.0052,-1.0169,0.0574
-0.2586,-0.8297,-0.8714
-0.6036,-1.2143,-0.4917
-0.5576,-1.0096,0.0296
-0.4951,-0.8493,0.1332
-0.454,-0.8835,0.0081
-0.327,-0.9348,-0.1712
-0.1467,-0.9714,-0.2519
-0.0494,-0.9055,-0.2499
-0.071,-0.7071,-0.2548
-0.1814,-0.5918,-0.2592
-0.2107,-0.669,-0.3046
-0.1433,-0.8131,-0.3295
-0.0622,-0.8546,-0.3124
-0.0534,-0.7608,-0.1453
-0.0715,-0.4697,-0.3036
-0.2097,-0.2859,-0.5934
-0.3158,-0.4374,-0.309
-0.1951,-0.5278,0.0946
-0.1677,-0.5468,0.1825
-0.1384,-0.5811,-0.0535
-0.1673,-0.671,-0.5528
-0.2263,-0.7633,-0.2201
-0.132,-0.8312,0.295
-0.0656,-0.8678,0.2602
-0.1179,-1.0917,0.1361
-0.2561,-1.5793,-0.1663
-0.3187,-2.1563,-0.414
-0.3646,-2.6654,-0.1248
-0.3832,-1.8939,-0.9471
-0.2415,-1.1278,-0.6999
-0.1834,-0.9338,-0.5337
-0.1379,-1.0188,-0.5909
-0.3866,-1.0813,-0.4708
-0.4677,-1.0569,-0.3843
-0.4795,-0.8141,-0.3217
-0.3172,-0.6998,-0.0989
-0.2019,-0.5864,0.0076
-0.1555,-0.5649,-0.1976
-0.1936,-0.4828,-0.393
-0.197,-0.477,-0.3358
-0.2185,-0.539,-0.1262
-0.2005,-0.6128,-0.0192
-0.0998,-0.7809,-0.1541
-0.0333,-0.9881,-0.3467
0.0664,-1.2358,-0.6124
0.1958,-1.2289,-0.4375
0.1704,-0.9817,-0.4365
0.0678,-0.7491,-0.3725
-0.0568,-0.6157,-0.3241
-0.1663,-0.5923,-0.2332
-0.2268,-0.5121,-0.2421
-0.218,-0.5869,-0.3173
-0.1164,-0.6245,-0.3407
-0.0348,-0.6069,-0.1737
0.0018,-0.5478,-0.0764
-0.0001,-0.561,-0.1439
-0.0021,-0.5854,-0.2592
-0.0852,-0.5536,-0.3984
-0.3075,-0.4721,-0.63
-0.5425,-0.4921,-0.7653
-0.7462,-0.5586,-1.0238
-0.9446,-0.8894,-1.3287
-0.735,-1.4869,-0.2264
-0.2791,-1.7063,0.8266
-0.3744,-1.784,-0.4272
-0.2552,-1.9902,-0.2371
-0.1917,-1.5851,-0.7478
-0.1902,-1.1063,0.6873
-0.1447,-1.1112,0.6209
-0.3656,-0.9582,0.2363
-0.8425,-0.992,-0.7737
-0.5963,-0.9807,-0.5162
-0.4394,-0.7613,-0.1028
-0.4545,-0.6646,-0.0192
-0.3695,-0.6656,-0.0598
-0.2874,-0.6226,-0.223
-0.3167,-0.7042,-0.3501
-0.2566,-0.776,-0.542
-0.1257,-0.6754,-0.587
-0.0739,-0.5546,-0.3427
-0.0446,-0.5331,-0.1444
0.0742,-0.5723,-0.1336
0.1132,-0.5635,-0.5176
-0.093,-0.8024,-0.611
-0.155,-0.7716,-0.096
-0.1066,-0.5586,0.1058
-0.1516,-0.4907,-0.0759
-0.1912,-0.862,-0.3691
-0.1203,-1.1508,-0.4414
0.0703,-1.161,-0.3041
0.0453,-1.2602,-0.2939
-0.2488,-1.5392,-0.9662
-0.799,-1.5124,-0.6066
-0.7663,-1.2236,-0.0134
-0.5909,-1.4493,0.0535
-0.4213,-1.8778,-0.2357
-0.132,-1.7903,-0.6769
-0.1477,-1.397,-0.8001
-0.2894,-1.0604,-0.3818
-0.2385,-0.7907,-0.2411
-0.1569,-0.5996,-0.0945
-0.1775,-0.3929,-0.0505
-0.2166,-0.2097,-0.1121
-0.2723,-0.0621,-0.1311
-0.2967,0.0073,-0.0535
-0.3045,-0.047,-0.0148
-0.2639,-0.1901,0.0125
-0.2449,-0.3709,0.0037
-0.305,-0.54,-0.1966
-0.3373,-0.6548,-0.3921
-0.3788,-0.6827,-0.7116
-0.3275,-0.7594,-0.8274
-0.1731,-0.8639,-0.6936
0.0556,-1.0462,-0.4849
0.1069,-1.2026,-0.1844
-0.1145,-1.0262,-0.4683
-0.266,-1.0491,-0.4781
-0.476,-1.1088,0.1205
-0.7311,-1.1664,0.1224
-1.356,-1.6433,-1.6488
-0.8742,-2.3381,-0.7526
-0.4834,-1.6848,0.5524
-0.3016,-1.0091,0.6135
-0.307,-0.9758,0.4005
-0.2987,-0.7838,0.2338
-0.2312,-0.6856,0.1737
-0.0988,-0.6715,0.0286
-0.4159,-0.6885,-0.7497
-0.5244,-0.9514,-0.6823
-0.3021,-0.9964,-0.6022
-0.1184,-0.799,-0.329
-0.0891,-0.7471,-0.0613
-0.0769,-0.7393,0.036
-0.0128,-0.6069,-0.0496
0.1127,-0.4178,-0.3891
-0.1032,-0.3592,-0.7546
-0.3446,-0.5571,-0.2978
-0.3441,-0.5468,0.1449
-0.113,-0.5532,0.1322
0.0659,-0.7951,-0.1951
-0.0236,-1.0364,-0.5822
-0.133,-1.0076,0.0242
-0.1003,-1.0418,0.1015
-0.0661,-1.3906,-0.3989
-0.1091,-1.9633,-1.3439
-0.4653,-1.718,-0.7507
-1.0071,-1.376,-0.4541
-0.9681,-1.3262,-0.4922
-0.7184,-1.1517,-0.2533
-0.5737,-0.8913,-0.2196
-0.5537,-1.0081,-0.5734
-0.4023,-1.0672,-0.694
-0.133,-0.9533,-0.3877
0.0223,-0.8048,-0.1449
0.0233,-0.6783,-0.0974
0.0497,-0.6157,-0.1678
-0.0949,-0.5185,-0.1351
-0.114,-0.5561,-0.1908
-0.0939,-0.583,-0.222
-0.1062,-0.5757,-0.2308
-0.1589,-0.499,-0.2059
-0.1584,-0.4565,-0.1898
-0.069,-0.4687,-0.1951
0.0306,-0.5414,-0.2083
0.0849,-0.606,-0.2821
0.1308,-0.626,-0.3799
0.1323,-0.584,-0.4698
0.0096,-0.5209,-0.5147
-0.1394,-0.5048,-0.5513
-0.1433,-0.6724,-0.4742
-0.1188,-0.8195,-0.608
-0.3133,-0.7423,-0.7898
-0.6759,-0.6646,-1.0507
-0.8694,-0.9187,-1.1294
-1.0487,-1.357,-0.7713
-1.0975,-1.6452,0.1395
-0.6368,-1.6125,-0.2909
-0.1697,-1.6609,0.6037
-0.1604,-1.4342,0.3467
-0.2337,-0.9856,0.0291
-0.2547,-0.7266,0.2255
-0.4662,-1.0022,-0.1223
-0.263,-1.3316,-0.4507
-0.091,-1.336,-0.375
-0.2459,-0.9768,-0.1365
-0.4643,-0.7452,-0.1282
-0.4389,-0.5723,-0.2313
-0.329,-0.4775,-0.1868
-0.1897,-0.4526,-0.1898
-0.0275,-0.4692,-0.2523
0.1646,-0.4921,-0.7546
0.104,-0.5507,-1.145
-0.2337,-0.5307,-0.3642
-0.3373,-0.4716,0.1591
-0.2811,-0.5703,0.2461
-0.2713,-0.645,0.161
-0.156,-0.6221,-0.4233
-0.1467,-0.7618,-1.1103
-0.1374,-0.9714,-0.0383
0.0277,-1.2519,-0.1165
-0.0559,-1.548,-0.2264
-0.2205,-2.0547,-1.1426
-0.9075,-2.0899,-0.5547
-0.9329,-1.743,-0.0984
-0.6168,-1.4644,-0.3305
-0.3685,-1.0926,-0.3363
-0.306,-1.0066,-0.4453
-0.2967,-1.0946,-0.5885
-0.1902,-1.1053,-0.3711
-0.0817,-0.9792,-0.2269
-0.027,-0.8288,-0.1004
-0.1746,-0.5116,-0.073
-0.2083,-0.2664,-0.0183
-0.1887,-0.1066,0.0516
-0.1462,-0.0402,0.0858
-0.1296,-0.1144,0.0535
-0.1291,-0.2835,-0.0564
-0.1438,-0.4012,-0.2519
-0.1525,-0.5073,-0.3716
-0.0856,-0.6895,-0.2313
0.0072,-0.8156,-0.2376
-0.0783,-0.7271,-0.7058
0.0277,-0.7178,-0.9838
0.0433,-0.6768,-0.9657
-0.2425,-0.6294,-0.6726
-0.5586,-0.7613,-0.7492
-0.6339,-1.1073,-0.7302
-0.6392,-1.5143,0.422
-0.8825,-1.6252,0.2841
-0.8308,-2.106,-1.4
-0.2904,-2.234,-0.608
-0.2992,-1.5719,0.3306
-0.3451,-1.1781,0.6638
-0.2874,-0.907,0.4469
-0.521,-0.6959,0.1171
-0.736,-0.7691,-0.1223
-0.6578,-0.8561,-0.2205
-0.4462,-0.967,-0.4341
-0.2517,-0.9743,-0.3295
-0.153,-0.8576,-0.2308
-0.0681,-0.7711,-0.1395
-0.1062,-0.6851,-0.1243
-0.3358,-0.6651,-0.1698
-0.4467,-0.7345,-0.1947
-0.453,-0.7667,-0.2074
-0.3509,-0.8205,-0.1639
-0.1868,-0.8923,-0.0852
-0.093,-0.9886,-0.0969
-0.1961,-1.0335,-0.2161
-0.2943,-0.9138,-0.2475
-0.35,-0.7574,-0.1912
-0.3397,-0.7418,-0.2196
-0.22,-0.7354,-0.2631
-0.1569,-0.6846,-0.2553
-0.1687,-0.647,-0.266
-0.2307,-0.605,-0.4482
-0.2112,-0.5879,-0.3916
-0.134,-0.5112,-0.2948
-0.1335,-0.5801,-0.329
-0.0651,-0.7868,-0.0403
0.0458,-0.8869,0.0408
0.1123,-0.7706,-0.1829
0.1416,-0.6025,-0.2934
0.166,-0.5405,-0.2934
0.1279,-1.1371,-0.1463
